,Wcurtt,Scurtt,CleanFirm,Zt,Xt,G1t,G2t,Gngt,BCt,BDt,BXt,lBt,LdCt,LdDt,LdXt,lLdt,TCt,TDt,TXt,lTvt,Gtest,Kstt,Lt,dLt,Lcurtt,Ct,Wt,St,P1,P2,CFE,PNGt
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13857.864376269048,86142.13562373095,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,700000.0,0.0,37000.0,1.0,95000.0,-5000.0,0.0,0.0,44142.13562373095,0.0,50,45,0.5,40
1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5679.491924311209,80462.64369941974,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,600000.0,0.0,37000.0,1.0,90000.0,-5000.0,5000.0,0.0,47320.50807568878,0.0,50,45,0.5,40
2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80462.64369941974,0.0,0.0,0.0,0.0,0.0,0.0,96436.44182221254,503563.55817778746,0.0,35681.483474218636,1.0,85000.0,-5000.0,10000.0,0.0,49318.516525781364,0.0,50,45,0.5,40
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80462.64369941974,0.0,0.0,0.0,0.0,0.0,0.0,81081.08108108107,422482.4770967064,0.0,29999.999999999993,1.0,80000.0,-5000.0,15000.0,0.0,50000.0,0.0,50,45,0.5,40
4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80462.64369941974,0.0,0.0,0.0,0.0,0.0,0.0,69409.4147951855,353073.0623015209,0.0,25681.483474218632,1.0,75000.0,-5000.0,20000.0,0.0,49318.516525781364,0.0,50,45,0.5,40
5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7329.2549413682245,73133.38875805151,0.0,0.0,0.0,0.0,0.0,0.0,41487.126980927074,311585.9353205938,0.0,15350.236982943017,1.0,70000.0,-5000.0,25000.0,0.0,47320.50807568878,0.0,50,45,0.5,40
6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30857.864376269037,42275.52438178248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311585.9353205938,0.0,0.0,0.0,75000.0,5000.0,20000.0,0.0,44142.13562373095,0.0,50,45,0.5,40
7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29951.905283832893,12323.619097949588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311585.9353205938,0.0,0.0,0.0,80000.0,5000.0,15000.0,0.0,40000.00000000001,10048.0947161671,50,45,0.5,40
8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12323.619097949588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311585.9353205938,0.0,0.0,0.0,85000.0,5000.0,10000.0,0.0,35176.38090205042,37499.99999999999,50,45,0.5,40
9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14999.999999999925,-1.2732925824820995e-11,325835.93532059377,749.9999999999969,-4.711182555183768e-12,0.0,90000.0,5000.0,5000.0,0.0,30000.000000000004,74999.99999999999,50,45,0.5,40
10,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,42323.61909794956,0.0,37244.78480619561,5078.834291753947,0.0,0.0,0.0,0.0,0.0,0.0,325835.93532059377,0.0,0.0,0.0,95000.0,5000.0,0.0,0.0,24823.619097949584,112499.99999999999,50,45,0.5,40
